ID,RAJ2000,DEJ2000,w1,w1_err,h,h_err,k,k_err,Halpha_type,objtype_Hou,objtype_SIMBAD,Fe_type,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag
J054506.89+204128.1,86.278739,20.691143,14.585,0.073,14.843,0.074,14.688,0.093,II,CBe,,,18.047,0.014,16.499,0.004,15.88,0.01,16.01,0.0,15.59,0.01,14.956,14.843,14.688,0.036,0.074,0.093
J054353.81+215809.6,85.97422,21.96936,14.467,0.032,14.648,0.055,14.53,0.078,II,CBe,,,17.931,0.013,16.462,0.005,15.76,0.01,15.95,0.01,15.54,0.01,14.884,14.648,14.53,0.034,0.055,0.078
J054332.37+213748.8,85.884907,21.630227,14.859,0.036,15.023,0.08,14.928,0.106,II,CBe,,,18.972,0.025,17.197,0.004,16.44,0.01,16.6,0.0,16.16,0.01,15.434,15.023,14.928,0.044,0.08,0.106
J054358.29+211917.8,85.99289,21.321612,14.663,0.034,14.833,0.065,14.769,0.091,II,CBe,,,19.499,0.03,17.531,0.005,16.46,0.01,16.7,0.01,16.11,0.01,15.226,14.833,14.769,0.042,0.065,0.091
J055059.80+223927.3,87.749201,22.657605,14.509,0.032,14.953,0.064,14.707,0.077,II,CBe,,,20.131,0.05,18.049,0.006,16.88,0.01,17.12,0.0,16.4,0.01,15.178,14.953,14.707,0.044,0.064,0.077
J055043.26+223933.3,87.680288,22.659253,15.22,0.046,15.501,0.079,15.476,0.149,II,CBe,,,20.379,0.059,18.474,0.007,17.42,0.01,17.61,0.01,16.98,0.01,15.913,15.501,15.476,0.059,0.079,0.149
J061719.20+243256.2,94.330005,24.548969,13.706,0.029,13.939,0.032,13.814,0.04,II,CBe,,,17.847,0.012,16.032,0.003,15.21,0.0,15.37,0.0,14.88,0.0,14.153,13.939,13.814,0.026,0.032,0.04
J061737.00+243734.0,94.404191,24.626131,14.059,0.033,14.343,0.039,14.205,0.051,II,CBe,,,17.939,0.012,16.174,0.003,15.47,0.01,15.62,0.0,15.2,0.0,14.535,14.343,14.205,0.033,0.039,0.051
J061705.74+251436.5,94.273918,25.243481,13.328,0.025,13.512,0.028,13.471,0.031,II,CBe,,,15.082,0.005,14.348,0.003,13.94,0.0,14.13,0.0,13.88,0.0,13.571,13.512,13.471,0.024,0.028,0.031
J055942.26+215344.1,89.926108,21.895603,13.706,0.027,14.082,0.046,14.027,0.051,II,CBe,,,18.265,0.015,16.576,0.004,15.7,0.01,15.89,0.0,15.34,0.0,14.341,14.082,14.027,0.04,0.046,0.051
J060352.23+235207.3,90.967633,23.868718,12.047,0.025,12.434,0.026,12.271,0.023,II,CBe,,,18.028,0.013,15.868,0.003,14.49,0.0,14.77,0.0,13.97,0.0,12.844,12.434,12.271,0.026,0.026,0.023
J060708.81+234916.4,91.78673,23.821247,14.009,0.03,14.187,0.04,14.123,0.047,II,CBe,,,17.114,0.009,15.556,0.003,15.03,0.0,15.14,0.0,14.8,0.0,14.346,14.187,14.123,0.027,0.04,0.047
J060357.47+234125.9,90.989478,23.690529,12.919,0.025,13.182,0.024,13.029,0.028,II,CBe,,,18.122,0.014,16.266,0.004,14.9,0.0,15.22,0.0,14.51,0.0,13.613,13.182,13.029,0.026,0.024,0.028
J060540.74+232219.4,91.419763,23.372072,14.417,0.032,14.602,0.051,14.332,0.064,II,CBe,,,17.7,0.011,16.158,0.004,15.57,0.0,15.71,0.0,15.33,0.0,14.692,14.602,14.332,0.031,0.051,0.064
J060730.12+241231.8,91.875533,24.208859,13.092,0.026,13.305,0.031,13.164,0.031,II,CBe,,,16.3,0.006,14.717,0.003,14.13,0.0,14.24,0.0,13.92,0.0,13.427,13.305,13.164,0.024,0.031,0.031
J060648.02+222118.1,91.700101,22.355047,12.681,0.024,12.927,0.023,12.806,0.023,II,CBe,,,16.148,0.005,14.788,0.003,13.97,0.0,14.28,0.0,13.82,0.0,13.108,12.927,12.806,0.023,0.023,0.023
J060806.73+222848.3,92.028049,22.480091,13.269,0.038,13.547,0.029,13.42,0.028,II,CBe,,,18.01,0.013,16.214,0.003,15.12,0.0,15.34,0.0,14.72,0.0,13.906,13.547,13.42,0.028,0.029,0.028
J060406.13+221256.3,91.025565,22.215655,12.086,0.024,12.405,0.026,12.27,0.025,II,CBe,,,17.313,0.009,15.329,0.003,14.2,0.0,14.47,0.0,13.8,0.0,12.695,12.405,12.27,0.022,0.026,0.025
J061113.13+251020.2,92.804744,25.172296,13.057,0.025,13.243,0.025,13.13,0.026,II,CBe,,,16.295,0.006,14.738,0.003,14.18,0.0,14.34,0.0,13.96,0.0,13.419,13.243,13.13,0.024,0.025,0.026
J055531.38+221702.2,88.880789,22.283963,13.24,0.026,13.496,0.029,13.388,0.032,II,CBe,,,16.934,0.008,15.347,0.003,14.66,0.0,14.85,0.0,14.47,0.0,13.758,13.496,13.388,0.026,0.029,0.032
J055122.37+224935.0,87.843238,22.826394,11.476,0.023,11.845,0.019,11.643,0.022,II,CBe,,,17.697,0.011,15.577,0.004,14.07,0.0,14.42,0.0,13.56,0.0,12.228,11.845,11.643,0.021,0.019,0.022
J055530.44+224933.7,88.87685,22.826054,11.646,0.023,11.997,0.019,11.793,0.022,II,CBe,,,17.784,0.012,15.882,0.004,14.21,0.0,14.56,0.0,13.77,0.0,12.364,11.997,11.793,0.021,0.019,0.022
